Title,Company,Location,Posted,Job Type,Seniority,Description
Data Scientist - TrueMoney Wallet,Ascend Money,"Phra Nakhon, Bangkok City, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","About Us
Our Ascend vision is to create life opportunities with innovative digital services. Operating in Southeast Asia, we are able to help one of the world’s largest populations of underbanked, the people from some of the poorest provinces who are disregarded by traditional banks. So many lives are waiting for our help.




Show more"
Artificial Intelligence Engineer,HYRED,Thailand,5 days ago,"Seniority level
Mid-Senior level","Employment type
Full-time","About the Role:
We are hiring an experienced AI/ML Engineer for our IT client. This is a fully remote opportunity, ideal for professionals with strong machine learning and artificial intelligence expertise who can effectively communicate in English and collaborate with global teams.



Show more"
Data Scientist,Venture Smarter,Thailand,1 month ago,"Seniority level
Entry level","Employment type
Full-time","Venture Smarter was founded by experts in law, finance, and strategy who saw a need for a more holistic approach to business consultancy. United by core values of innovation, integrity, and impact, we offer a 360-degree suite of solutions tailored to each client's needs. Over the years, we've successfully guided businesses through growth, market transitions, and legal complexities. As we look to the future, we're excited to continue being the catalyst that propels businesses to new heights. Join"
,,,,,,
,,,,,,
Data Scientist I,Seagate Technology,"Nakhon Ratchasima, Nakhon Ratchasima, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","About Our Group

The Operational Intelligence Group (OIG) transforms data into actionable insights to support factory operations delivering industry-leading hard disk drive solutions. We aim to drive Seagate Factory’s digitalization and intelligence by leveraging advanced analytics, machine learning (ML), and artificial intelligence (AI) to optimize operations and unlock new business value.















Korat, Thailand

Our Korat facility is our largest manufacturing site worldwide, with more "
AI Training Software Engineer,1840 & Company,Bangkok Metropolitan Area,1 week ago,"Seniority level
Not Applicable","Employment type
Full-time","Are you an experienced software engineer looking to use your coding expertise to train AI models?
We partner with organizations to train large-scale AI language models, helping advanced generative AI models write better code. Most projects involve a variety of dynamic and transformative problems that involve interacting with these models while learning to code. No prior AI experience is required.






Show more"
Senior LLM Data Scientist.,Sertis,"Bangkok, Bangkok City, Thailand",8 hours ago,"Seniority level
Not Applicable","Employment type
Full-time","Who is Sertis?

At Sertis, we stand at the forefront of technological innovation, harnessing the power of cutting-edge AI and data solutions to drive unparalleled business value for enterprises. Our AI and data centric solutions empower businesses, fostering adaptability in the face of change and transforming potential challenges into lucrative opportunities.

Our focus extends across Retail and FMCG industries as well as Energy, Security, and Asset Management. In the future, our expertise will "
Full Stack Engineer,Phillip Life Assurance,"Bangkok City, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Full Stack Developer (Life Insurance)

Job Responsibilities:
Design and develop functional programs and applications to support life insurance business processes.

Show more"
,,,,,,
,,,,,,
Senior Data Scientist,Lotus's,"Bueng Kum, Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","We are looking for a Senior Data Scientist to join our team and drive data-driven decision-making in the retail industry. You will work on high-impact projects, developing predictive models, optimizing pricing strategies, and enhancing customer insights. The role requires expertise in machine learning, data engineering, and MLOps, along with experience handling large-scale data processing using PySpark.








Show more"
Senior Data Scientist,Lotus's,"Bueng Kum, Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","We are looking for a Senior Data Scientist to join our team and drive data-driven decision-making in the retail industry. You will work on high-impact projects, developing predictive models, optimizing pricing strategies, and enhancing customer insights. The role requires expertise in machine learning, data engineering, and MLOps, along with experience handling large-scale data processing using PySpark.








Show more"
Data Scientist I,Seagate Technology,"Nakhon Ratchasima, Nakhon Ratchasima, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","About Our Group

The Operational Intelligence Group (OIG) transforms data into actionable insights to support factory operations delivering industry-leading hard disk drive solutions. We aim to drive Seagate Factory’s digitalization and intelligence by leveraging advanced analytics, machine learning (ML), and artificial intelligence (AI) to optimize operations and unlock new business value.















Korat, Thailand

Our Korat facility is our largest manufacturing site worldwide, with more "
(Master's Fresh Grad ONLY) Data Scientist,Western Digital,"Amphoe Si Maha Phot, Prachin Buri, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.

At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that—our technology helped people put a man on the moon and capture the first-ever picture of a black hole.

We offer an expansive portfolio of technologies, HDDs"
,,,,,,
,,,,,,
Cloud Infrastructure Engineer,Woxa Corporation,"Khon Kaen, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Responsibilities:
Design, develop, and maintain cloud infrastructure across multiple cloud providers, including Google Cloud, AWS, and Azure.
Plan and manage Multi-Region Deployments to ensure high availability and system reliability.

Show more"
Leave Resume Here (Cloud Infrastructure),SCG,"Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Cloud Infrastructure at SCG – Powering Scalable, Secure, and Resilient Systems

More Than Just Servers—Shaping the Future of Cloud Innovation
Cloud Infrastructure at SCG is more than maintaining servers—it’s about engineering highly available, scalable, and secure cloud environments that drive business transformation. Our engineers work on hybrid cloud solutions, optimizing performance, automating cloud-native deployments, and ensuring seamless integration between AWS, Google Cloud, and Microsof"
Site Reliability Engineer (SRE),2C2P,"Sathon, Bangkok City, Thailand",2 weeks ago,"Seniority level
Associate","Employment type
Full-time","2C2P is looking for a Site Reliability Engineer (SRE) to join its growing team in Thailand. If you have the right skills & experience and look for a new rewarding challenge, don't wait!
Join us and share our vision in providing the best payment services in Asia.









Show more"
"Senior Associate, Data Scientist (Advanced Modeling)",True Corporation,"Bangkok, Bangkok City, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","What you will be doing:
•Providing business opportunities or actionable insights through data analysis and advanced modeling from complex datasets.
•Strategically designing the application of advanced analytics in business by using design thinking methodologies, insights derived from AI/ML, advanced modeling, and establishing an execution plan in alignment with key stakeholders.
Show more"
,,,,,,
,,,,,,
Data Scientist Consultant,"NTT DATA, Inc.","Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Make an impact with NTT DATA

Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to our clients and society. Our workplace embraces diversity and inclusion – it’s a place where you can grow, belong and thrive.

















NTT DATA is a $30+ billion trusted global innovator of business and technology services. We serve 75% of the Fortune Global 100 and are committed to helping cl"
Python Developer - LLM/AI Agents,NFQ,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Not Applicable","Employment type
Full-time","We are a 800+ strong team whose ideas underpin successful exits, IPOs, strong financial results and competitive advantages as well as novel processes, new business models and great user experiences. We focus on e-commerce, mobility, and transport & logistics, while always keeping an eye on emerging segments as well. We rethink processes, business models and architecture, not to mention tech stacks. This approach opens doors for our people to find their own ways and solutions and bring their own "
Data Scientist,Michelin,"Bangkok, Bangkok City, Thailand",4 months ago,"Seniority level
Not Applicable","Employment type
Full-time","- - - - - - - - - - - -

KEY EXPECTED ACHIEVEMENTS







*Only shortlisted candidates will be contacted.*
Show more"
Machine Learning Engineer,SCB – Siam Commercial Bank,"Chatuchak, Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Job Summary

The ML Engineer role in the SCB Data Analytics team is a unique combination of Data Engineer, MLOps, and a bit of Full Stack development. You will be responsible for various engineering tasks, from integrating vast amounts of data within SCB to developing and maintaining production-grade software solutions that leverage data to deliver value to the bank and its millions of customers.








Show more"
,,,,,,
,,,,,,
R&D เทคนิควิจัยพัฒนา,ThaiOPP,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","รายละเอียดงาน : ทำการวิจัยคุณสมบัติพลาสติกแต่ละชนิดและหาวัสดุที่เหมาะสมเพื่อทำการผลิตผลิตภัณฑ์ให้ได้ตามความต้องการลูกค้า รวมถึงการให้คำแนะนำทางด้านเทคนิคแก่ลูกค้า และมีหน้าที่พัฒนาปรับปรุงการผลิตให้ได้ประสิทธิภาพ ลดต้นทุนการผลิต

คุณสมบัติผู้สมัคร : 1. วุฒิปริญญาตรี วิทยาศาสตร์,วิศวกรรมศาสตร์ สาขาเคมี โพลีเมอร์หรือพลาสติก, หรืออื่นๆที่เกี่ยวข้อง

Show more"
AI Full Stack Python Developer,ZILO™,"Bangkok, Bangkok City, Thailand",2 months ago,"Seniority level
Associate","Employment type
Full-time","We are seeking a highly skilled and experienced Full Stack Python Developer to join our team. The ideal candidate will have a strong background in developing Python packages, as well as exposure to LLMs (Language Model Libraries) and the Langchain framework. As a Full Stack Python Developer, you will be responsible for designing, developing, and maintaining both the front-end and back-end components of AI applications.










If you are a talented Full Stack Python Developer with a passion fo"
Senior Front End Flutter App Developer (นักพัฒนาแอป Front End Flutter อาวุโส),Youtap Technology Ltd,"Bangkok, Bangkok City, Thailand",1 month ago,"Seniority level
Director","Employment type
Full-time",Youtap Limited เป็นผู้นำระดับโลกในการให้บริการเทคโนโลยีไวท์เลเบลสำหรับธนาคารดิจิทัลและสถาบันการเงิน ขณะนี้เรากำลังมองหานักพัฒนาแอป Front End Flutter ที่มีความสามารถเพื่อเข้าร่วมทีมของเราในประเทศไทย ในบทบาทนี้ คุณจะรับผิดชอบในการพัฒนาและดูแลส่วนหน้าของแอปพลิเคชันธนาคารดิจิทัลและการชำระเงินดิจิทัลของเราด้วย Flutter Youtap Limited ช่วยให้ผู้บริโภคและผู้ค้าทั่วโลกสามารถทำธุรกรรมทางดิจิทัลได้ โดยเสนอวิธีแก้ปัญหาสำหรับการช็อปปิ้งออนไลน์และในร้าน การจัดการการขาย และอื่น ๆ ในฐานะนักพัฒนาแอป Front End Fl
Machine Learning Data Engineer,AS White Global,"Bangkok, Bangkok City, Thailand",6 days ago,"Seniority level
Mid-Senior level","Employment type
Full-time","The Opportunity

Our client is a leading food manufacturer in Australia and New Zealand, with a workforce of over 6,000 employees operating across 60 sites. Committed to innovation and quality, they play a vital role in delivering high-quality products to millions of consumers. The team makes some of Australia & New Zealand's favourite & most innovative products, living the core purpose of ‘to delight people every day with the food they love!'

As a Machine Learning Data Engineer, you will be at"
,,,,,,
,,,,,,
Data Scientist - TrueMoney Wallet,Ascend Money,"Phra Nakhon, Bangkok City, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","About Us
Our Ascend vision is to create life opportunities with innovative digital services. Operating in Southeast Asia, we are able to help one of the world’s largest populations of underbanked, the people from some of the poorest provinces who are disregarded by traditional banks. So many lives are waiting for our help.




Show more"
Artificial Intelligence Engineer,HYRED,Thailand,5 days ago,"Seniority level
Mid-Senior level","Employment type
Full-time","About the Role:
We are hiring an experienced AI/ML Engineer for our IT client. This is a fully remote opportunity, ideal for professionals with strong machine learning and artificial intelligence expertise who can effectively communicate in English and collaborate with global teams.



Show more"
Data Scientist,Venture Smarter,Thailand,1 month ago,"Seniority level
Entry level","Employment type
Full-time","Venture Smarter was founded by experts in law, finance, and strategy who saw a need for a more holistic approach to business consultancy. United by core values of innovation, integrity, and impact, we offer a 360-degree suite of solutions tailored to each client's needs. Over the years, we've successfully guided businesses through growth, market transitions, and legal complexities. As we look to the future, we're excited to continue being the catalyst that propels businesses to new heights. Join"
Senior Data Scientist,Makro,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Associate","Employment type
Full-time","Key Responsibilities:
Leadership and Strategy:
Lead and expand the IT team which includes Developers, BI Developers, and Data Analysts.
Develop and implement a comprehensive data and IT strategy that aligns with the company’s overall objectives.

Show more"
AI Engineer,Amity Solutions,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Join Amity Solutions!

Working at Amity is an exciting opportunity to step up your career and work in a high-growth, global tech scale-up company. 🔥 We’re backed by leading VC firms with more than $30M funding raised to date. Since 2017, we’ve achieved over 200% YoY revenue growth and our team has grown from 40 employees to 200+ (with over 27 nationalities ). With 4 offices in Bangkok, London, Milan, and Miami, we now serve industry leading companies such as TrueID, AirAsia, Unilever, and more.
"
Data Scientist I,Seagate Technology,"Nakhon Ratchasima, Nakhon Ratchasima, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","About Our Group

The Operational Intelligence Group (OIG) transforms data into actionable insights to support factory operations delivering industry-leading hard disk drive solutions. We aim to drive Seagate Factory’s digitalization and intelligence by leveraging advanced analytics, machine learning (ML), and artificial intelligence (AI) to optimize operations and unlock new business value.















Korat, Thailand

Our Korat facility is our largest manufacturing site worldwide, with more "
AI Training Software Engineer,1840 & Company,Bangkok Metropolitan Area,1 week ago,"Seniority level
Not Applicable","Employment type
Full-time","Are you an experienced software engineer looking to use your coding expertise to train AI models?
We partner with organizations to train large-scale AI language models, helping advanced generative AI models write better code. Most projects involve a variety of dynamic and transformative problems that involve interacting with these models while learning to code. No prior AI experience is required.






Show more"
Senior LLM Data Scientist.,Sertis,"Bangkok, Bangkok City, Thailand",8 hours ago,"Seniority level
Not Applicable","Employment type
Full-time","Who is Sertis?

At Sertis, we stand at the forefront of technological innovation, harnessing the power of cutting-edge AI and data solutions to drive unparalleled business value for enterprises. Our AI and data centric solutions empower businesses, fostering adaptability in the face of change and transforming potential challenges into lucrative opportunities.

Our focus extends across Retail and FMCG industries as well as Energy, Security, and Asset Management. In the future, our expertise will "
Full Stack Engineer,Phillip Life Assurance,"Bangkok City, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Full Stack Developer (Life Insurance)

Job Responsibilities:
Design and develop functional programs and applications to support life insurance business processes.

Show more"
Data Scientist,Thai Union Group PCL.,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Thai Union Group PCL

Position: Data Scientist Level: Department Manager

Work location: Bangkok Office (SM Tower Building)



The Data Scientist is responsible for researching, developing, and implementing advanced analytics, machine learning (ML) models, and Generative AI solutions to solve complex business challenges. In this role, you will take the lead in end-to-end model development—from data exploration through deployment—and partner with other teams to ensure the success of data-driven p"
Data Scientist,Michelin,"Bangkok, Bangkok City, Thailand",4 months ago,"Seniority level
Not Applicable","Employment type
Full-time","- - - - - - - - - - - -

KEY EXPECTED ACHIEVEMENTS







*Only shortlisted candidates will be contacted.*
Show more"
Machine Learning Engineer,SCB – Siam Commercial Bank,"Chatuchak, Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Job Summary

The ML Engineer role in the SCB Data Analytics team is a unique combination of Data Engineer, MLOps, and a bit of Full Stack development. You will be responsible for various engineering tasks, from integrating vast amounts of data within SCB to developing and maintaining production-grade software solutions that leverage data to deliver value to the bank and its millions of customers.








Show more"
Senior Data Scientist,Central Retail,"Pak Kret, Nonthaburi, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Key Roles and Responsibilities:

Plan, prioritize and drive projects and/or implement cross-department initiatives and support 2 to 3 key projects at a given time.
Break down complex business problems into simpler pieces, prioritize and present information in easily digestible manner to business teams.


Show more"
Machine Learning Engineer: AI for Quantum,Quantinuum,"Non Sung, Nakhon Ratchasima, Thailand",1 month ago,"Seniority level
Entry level","Employment type
Full-time","Designing, building, programming, and using a quantum computer poses numerous challenges. Modern AI methods show promise in tackling them, and such a project requires the application of modern machine learning techniques. At Quantinuum we are currently forming a new team to implement our AI strategy, successful applicants will have the opportunity to help us build this.

As a Machine learning Engineer in the AI for Quantum team, you will use state-of-the-art methods, in collaboration with quantu"
R&D เทคนิควิจัยพัฒนา,ThaiOPP,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","รายละเอียดงาน : ทำการวิจัยคุณสมบัติพลาสติกแต่ละชนิดและหาวัสดุที่เหมาะสมเพื่อทำการผลิตผลิตภัณฑ์ให้ได้ตามความต้องการลูกค้า รวมถึงการให้คำแนะนำทางด้านเทคนิคแก่ลูกค้า และมีหน้าที่พัฒนาปรับปรุงการผลิตให้ได้ประสิทธิภาพ ลดต้นทุนการผลิต

คุณสมบัติผู้สมัคร : 1. วุฒิปริญญาตรี วิทยาศาสตร์,วิศวกรรมศาสตร์ สาขาเคมี โพลีเมอร์หรือพลาสติก, หรืออื่นๆที่เกี่ยวข้อง

Show more"
AI Full Stack Python Developer,ZILO™,"Bangkok, Bangkok City, Thailand",2 months ago,"Seniority level
Associate","Employment type
Full-time","We are seeking a highly skilled and experienced Full Stack Python Developer to join our team. The ideal candidate will have a strong background in developing Python packages, as well as exposure to LLMs (Language Model Libraries) and the Langchain framework. As a Full Stack Python Developer, you will be responsible for designing, developing, and maintaining both the front-end and back-end components of AI applications.










If you are a talented Full Stack Python Developer with a passion fo"
Senior Front End Flutter App Developer (นักพัฒนาแอป Front End Flutter อาวุโส),Youtap Technology Ltd,"Bangkok, Bangkok City, Thailand",1 month ago,"Seniority level
Director","Employment type
Full-time",Youtap Limited เป็นผู้นำระดับโลกในการให้บริการเทคโนโลยีไวท์เลเบลสำหรับธนาคารดิจิทัลและสถาบันการเงิน ขณะนี้เรากำลังมองหานักพัฒนาแอป Front End Flutter ที่มีความสามารถเพื่อเข้าร่วมทีมของเราในประเทศไทย ในบทบาทนี้ คุณจะรับผิดชอบในการพัฒนาและดูแลส่วนหน้าของแอปพลิเคชันธนาคารดิจิทัลและการชำระเงินดิจิทัลของเราด้วย Flutter Youtap Limited ช่วยให้ผู้บริโภคและผู้ค้าทั่วโลกสามารถทำธุรกรรมทางดิจิทัลได้ โดยเสนอวิธีแก้ปัญหาสำหรับการช็อปปิ้งออนไลน์และในร้าน การจัดการการขาย และอื่น ๆ ในฐานะนักพัฒนาแอป Front End Fl
Machine Learning Data Engineer,AS White Global,"Bangkok, Bangkok City, Thailand",6 days ago,"Seniority level
Mid-Senior level","Employment type
Full-time","The Opportunity

Our client is a leading food manufacturer in Australia and New Zealand, with a workforce of over 6,000 employees operating across 60 sites. Committed to innovation and quality, they play a vital role in delivering high-quality products to millions of consumers. The team makes some of Australia & New Zealand's favourite & most innovative products, living the core purpose of ‘to delight people every day with the food they love!'

As a Machine Learning Data Engineer, you will be at"
Application Engineer,TechSource Systems Group,"Bangkok, Bangkok City, Thailand",3 weeks ago,"Seniority level
Executive","Employment type
Full-time","Job Summary
We are seeking an experienced Application Engineer to join our team. In this role, you will be responsible for providing technical support and expertise for MathWorks products, and to assist customers to meet their technical and business needs.




Show more"
"Leave Resume Here (Software Development – Frontend, Backend, Full-Stack)",SCG,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Software Development at SCG – Engineering Scalable, Impactful Solutions

Building Beyond Code—Engineering Digital Transformation
At SCG, Software Development isn’t just about writing code—it’s about architecting scalable solutions that power industrial automation, enhance customer experiences, and drive digital innovation across manufacturing, logistics, and smart infrastructure. Whether developing cloud-native applications, optimizing AI-driven workflows, or integrating IoT-enabled platforms, S"
"Research Scientist, Hamiltonian Simulation",Quantinuum,"Non Sung, Nakhon Ratchasima, Thailand",1 month ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Are you ready to push the boundaries of what’s possible in Hamiltonian simulation? We are looking for a Research Scientist to improve Hamiltonian simulation using symmetry and representation-theoretic methods. You will work on developing new theories and algorithms for Hamiltonian simulation, with a focus on implementation and quantum circuit design, aiming to run these algorithms on our hardware.

In this role, you will be expected to conduct novel research, publish scientific papers related to"
手机测试工程师,iSoftStone,"Bangkok City, Thailand",3 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Job Responsibilities
Xiaomi mobile phone localization test

Job Requirements
1: At least half a year of experience in mobile phone hardware testing.
Show more"
,,,,,,
,,,,,,
Software Engineer (New Graduation) 2025,"TOYOTA TSUSHO NEXTY ELECTRONICS (THAILAND) CO.,LTD","Bangkok City, Thailand",3 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Software Engineer (Senior Level)
Job Description:
Requirement analysis, design, implement and evaluate software following specification.
Estimate work scope & effort and control work schedule to keep due date.



Show more"
เจ้าหน้าที่ข้อมูลและสถิติอาวุโส,Thai Beverage PLC,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","รายละเอียดงาน : รวบรวม วิเคราะห์และสรุปข้อมูลผลการปฏิบัติงานเพื่อสนับสนุนข้อมูลให้สายงานบริหาร Cash Van เพื่อวางแผนการขาย และกำหนดกลยุทธ์ทางการตลาด

รวบรวมสถิติ วิเคราะห์ จัดทำรายงานและนำเสนอผลการปฏิบัติงาน แยกตามสินค้า แยกตามพื้นที่ แยกตามหน่วยขายเพื่อให้ทีมขายได้นำไปใช้ในการบริหารการขาย และเพื่อให้ฝ่ายบริหารใช้เป๋นข้อมูลในการกำหนดทิศทางการขาย

รวบรวมข้อมูลเพื่อสนับสนุนในการจัดทำงบประมาณประจำปี

นำเสนอ พัฒนา และปรับปรุงกระบวนการทำรายงานให้มีประสิทธิภาพ

คุณสมบัติผู้สมัคร : 1. สำเร็จการศึกษาระดั"
